"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/Enemy.ts", "TypeScript", 3, 0, 0, 0, 3
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/EnemySpawner.ts", "TypeScript", 39, 0, 0, 7, 46
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/Hud.ts", "TypeScript", 12, 0, 0, 1, 13
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/InGameMenu.ts", "TypeScript", 69, 0, 2, 9, 80
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/PowerUp.ts", "TypeScript", 2, 0, 0, 0, 2
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Other/Sounds.ts", "TypeScript", 67, 0, 0, 14, 81
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/PlayerInput.ts", "TypeScript", 2, 0, 0, 0, 2
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/PlayerSpells.ts", "TypeScript", 8, 0, 0, -2, 6
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/Projectile.ts", "TypeScript", 6, 0, 0, 1, 7
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Sprite/Sprite.ts", "TypeScript", 9, 0, 0, 0, 9
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/mainLevelLogic.ts", "TypeScript", 12, 0, 1, 2, 15
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/levelStyling.css", "CSS", 0, 9, 0, 2, 11
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/Leaderboards.ts", "TypeScript", 54, 0, 0, 12, 66
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenu.ts", "TypeScript", 157, 0, 5, 28, 190
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenuLogic.ts", "TypeScript", 13, 0, -10, 5, 8
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenuStyling.css", "CSS", 0, 126, 0, 18, 144
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/Settings.ts", "TypeScript", 49, 0, 1, 9, 59
"/Users/rock/Documents/Projekti/2dGame/client/src/Stores/MenuStore.ts", "TypeScript", 5, 0, 0, 0, 5
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/Icons.ts", "TypeScript", -4, 0, 0, -1, -5
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/IconsExports.ts", "TypeScript", 8, 0, 0, 2, 10
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/TsTypes.ts", "TypeScript", 31, 0, 0, 4, 35
"/Users/rock/Documents/Projekti/2dGame/client/src/index.ts", "TypeScript", 1, 0, 2, 1, 4
"Total", "-", 543, 135, 1, 112, 791